# ZTool localization table: <escaped zh>\t<escaped ru>
# Rows with an empty RU column are left untouched. Edit RU values only.
\t统计数量	\tКоличество
$类型$-<文件名称>-<当前日期>	$Тип$-<ИмяФайла>-<ТекущаяДата>
(全选)	(Выбрать все)
/基本操作/保存数据到SolidWorks.htm	
/进阶操作/BOM表模板制作和导出.htm	
/进阶操作/缩略图显示及操作.htm	
<主题>	<Тема>
<作者>	<Автор>
<关键字>	<КлючевыеСлова>
<备注>	<Примечание>
<当前日期>	<ТекущаяДата>
<文件名称>	<ИмяФайла>
<文件夹名称>	<ИмяПапки>
<文件类型>	<ТипФайла>
<有无工程图>	<НаличиеЧертежа>
<材质>	<Материал>
<标题>	<Заголовок>
<模型文件名称>	<ИмяФайлаМодели>
<模型文件夹名称>	<ИмяПапкиМодели>
<统计数量>	<Количество>
<配置名称>	<ИмяКонфигурации>
A4横	A4 альбомная
A4竖	A4 книжная
AutoCAD标准样式	Стандартный стиль AutoCAD
BOM报表 【	Спецификация 【
BOM模板文件（*.xls;*.xlsx）|*.xls;*.xlsx	Файл шаблона спецификации (*.xls;*.xlsx)|*.xls;*.xlsx
BOM表模板	Шаблон спецификации
Excel 工作簿（*xlsx）|*.xlsx|Excel 97-2003工作簿（*xls）|*.xls	Книга Excel (*.xlsx)|*.xlsx|Книга Excel 97-2003 (*.xls)|*.xls
Excel 文件（*.xls;*.xlsx）|*.xls;*.xlsx	Файлы Excel (*.xls;*.xlsx)|*.xls;*.xlsx
ID001-轴承座-001	ID001-Корпус подшипника-001
ID010-轴承座-010	ID010-Корпус подшипника-010
PDF文件(*.pdf)|*.pdf	Файлы PDF (*.pdf)|*.pdf
PowerShell 执行失败 (ExitCode: 	PowerShell: ошибка выполнения (ExitCode: 
RGB全色	RGB (полный цвет)
SOLIDWORKS文件(*.SLDPRT;*.SLDASM)|*.SLDPRT;*.SLDASM|SOLIDWORKS零件(*.SLDPRT)|*.SLDPRT|SOLIDWORKS装配体(*.SLDASM)|*.SLDASM	Файлы SOLIDWORKS (*.SLDPRT;*.SLDASM)|*.SLDPRT;*.SLDASM|Деталь SOLIDWORKS (*.SLDPRT)|*.SLDPRT|Сборка SOLIDWORKS (*.SLDASM)|*.SLDASM
SW-上次保存的日期(Last Saved Date)	SW-Дата последнего сохранения (Last Saved Date)
SW-上次保存者(Last Saved By)	SW-Кто сохранил последним (Last Saved By)
SW-主题(Subject)	SW-Тема (Subject)
SW-体积	SW-Объём
SW-作者(Author)	SW-Автор (Author)
SW-关键词(Keywords)	SW-Ключевые слова (Keywords)
SW-密度	SW-Плотность
SW-文件名称(File Name)	SW-Имя файла (File Name)
SW-文件夹名称(Folder Name)	SW-Имя папки (Folder Name)
SW-材质	SW-Материал
SW-标题 (Title)	SW-Заголовок (Title)
SW-生成的日期(Created Date)	SW-Дата создания (Created Date)
SW-表面积	SW-Площадь поверхности
SW-评述(Comments)	SW-Примечания (Comments)
SW-质量	SW-Масса
SW-配置名称(Configuration Name)	SW-Имя конфигурации (Configuration Name)
SW属性	Свойства SW
SW模板	Шаблон SW
SolidWorks自定义样式	Пользовательский стиль SolidWorks
SolidWorks高效辅助工具\n批量重命名、编辑属性、打印、转图、生成bom等	Эффективный помощник для SolidWorks\nПакетное переименование, редактирование свойств, печать, конвертация чертежей, создание спецификаций и т. д.
V3.84(2026.3.18)\r\n1.修复上版本bug；\r\n\r\nV3.83(2026.3.16)\r\n1.修复上版本bug；\r\n2.BOM方案增加仅限零件选项；\r\n\r\nV3.82(2026.2.10)\r\n1.修复批量创建工程图bug，批量创建时默认添加三视图；\r\n2.修复保存零件时光源被修改的问题；\r\n3.修复窗口最小化状态下关闭后下次启动时报错；\r\n4.修复部分列排序不能保存的问题；\r\n5.修复solidworks2016以下版本批量替换图纸格式报错问题；\r\n6.优化提升批量重命名效率；\r\n7.优化导出bom的层级显示；\r\n8.优化多配置零件拆分功能；\r\n9.优化快速筛选功能；\r\n10.优化排序功能；\r\n11.优化批量转换工具转换和保存顺序；\r\n12.优化子装配体BOM报表总数量统计方式；\r\n13.新增装配体外形尺寸；\r\n14.新增材质列按颜色筛选功能；\r\n15.新增恢复为材质颜色功能；\r\n16.新增设计树多选功能；\r\n17.新增临时编号功能；\r\n18.其它；\r\n\r\nV3.81(2024.1.22)\r\n1.筛选输入框增加多行多列文本的粘贴；\r\n2.增加读取和设置零件号功能；\r\n3.零部件重命名增加直接命名选项；\r\n4.替换图框和标准支持绘图标准的独立设定；\r\n5.单元格粘贴bug修复；\r\n6.批量转换自定义文件名bug修复；\r\n7.其它；\r\n\r\nV3.8(2024.1.10)\r\n1.文件管理增加窗口尺寸和位置记忆功能；\r\n2.零部件重命名增加路径锁定功能；\r\n3.批量转换增加自定义文件名功能；\r\n4.增加钣金件和焊件快速筛选功能；\r\n5.增加实时标记重复项功能；\r\n6.增加ctrl+c批量复制和ctrl+v批量粘贴；\r\n7.增加随机上色功能；\r\n8.单元格清除内容增加多列多行批量操作；\r\n9.填充列增加关联填写和从excel查找填充功能；\r\n10.修复批量转换比例失调问题；\r\n11.解决材质库加密导致的读取失败问题；\r\n12.优化材质填写功能，避免填写失败；\r\n13.优化全屏模式右下角按钮操作；\r\n14.优化一键修复参考关系功能；\r\n15.其它；\r\n\r\nV3.7(2023.3.22)\r\n1.修复拆分列规则调用bug；\r\n2.修复批量打印时图纸不更新的问题；\r\n3.修复零件颜色读取失败的问题；\r\n4.增加PDF合并和拆分功能；\r\n5.批量转换工具增加PDF水印功能；\r\n6.批量转换工具增加文件名前后缀自定义功能；\r\n7.增加solidworks版本适配，最低兼容2012版；\r\n8.增加一键修复丢失的参考关系功能；\r\n9.增加接管系统保存的功能（仅限于工程图）；\r\n10.自定义菜单增加至20个；\r\n11.其它；\r\n\r\nV3.6(2022.9.26)\r\n1.增加导入属性名称功能；\r\n2.材质列增加颜色设置；\r\n3.属性列允许多行文字输入；\r\n4.增加自定义排序功能；\r\n5.增加互换列功能；\r\n6.设计树和表格右键菜单增加功能；\r\n7.属性列映射功能优化；\r\n8.填充列功能增强；\r\n9.其它；\r\n\r\nV3.5(2022.7.24)\r\n1.导出excel数字类型转换报错修复；\r\n2.右键菜单增加复制和粘贴工程图功能；\r\n3.右键菜单批量粘贴到文件名列时，重名自动跳过功能优化；\r\n4.打包增加虚拟零件选项；\r\n5.拆分列增加预设规则，及bug修复；\r\n6.增加列标题名称映射功能，解决当属性名称中含有特殊符号时引起的Excel模板自定义名称语法错误的问题；\r\n7.增加虚拟件快速筛选；\r\n8.BOM表导出模式可选择NPOI和Microsoft Excel；\r\n9.批量工具窗口增加表格复制和粘贴功能；\r\n10.其它；\r\n\r\nV3.4(2022.6.26)\r\n1.增加BOM报表功能；\r\n2.功能优化及bug修复；\r\n\r\nV3.3(2022.5.29)\r\n1.列表头增加筛选按钮；\r\n2.装配体重命名丢参考问题修复；\r\n3.闪退问题修复；\r\n4.在线更新受安装路径影响的bug修复；\r\n5.BOM导出方式优化、提速；\r\n6.其它；\r\n\r\nV3.2(2022.4.10)\r\n1.重命名bug修复及优化提速；\r\n2.对比列bug修复；\r\n3.重命名规则、查找和替换优化；\r\n4.表格多选速度提升；\r\n5.自定义规则功能优化增强；\r\n6.增加打包功能；\r\n7.其它；\r\n\r\nV3.1.3(2022.3.6)\r\n1.解决批量转图时注释比例失调问题；\r\n2.单个零件重命名bug修复；\r\n3.替换字符串、前后缀和对比列功能优化；\r\n4.多网卡切换时注册信息失效问题修复；\r\n5.其它；\r\n\r\nV3.1.2(2022.2.16)\r\n1.解决文件名包含特殊字符时设计树读取失败的问题；\r\n2.默认展开侧边栏；\r\n\r\nV3.1.1(2022.2.15)\r\n1.bom表序号bug修复；\r\n2.装配体重命名时零件丢失关联参考的bug修复；\r\n3.批量转dwg、dxf和pdf增加多图纸选项；\r\n4.其它；\r\n\r\nV3.1(2022.1.22)\r\n1.增加读取设计树功能；\r\n2.BOM功能增强；\r\n3.右键菜单增加批量复制功能；\r\n4.重命名后旧文件处理方式优化；\r\n5.在线注册功能优化，增加转出授权功能；\r\n6.批量更换图框bug修复；\r\n7.装配体阵列零部件数量统计错误修复；\r\n8.单零件读取时不显示缩略图bug修复；\r\n9.适配PLM系统，可对工作区零部件进行属性编辑和改名操作；\r\n10.右键菜单增加执行solidworks宏功能；\r\n11.右键激活保存功能增加批量执行；\r\n12.其它；\r\n\r\nV3.0.1(2021.9.15)\r\n1.缩略图保存格式改为png；\r\n2.批量替换图框bug修复；\r\n3.注册信息增加二维码显示；\r\n\r\nV3.0(2021.9.12)\r\n1.增加在线授权功能；\r\n2.修复在线更新bug；\r\n3.自定义按钮功能增强；\r\n4.增加导出缩略图到本地功能；\r\n5.其它；\r\n\r\nV2.8(2021.8.22)\r\n1.优化布尔型属性读取和写入操作；\r\n2.修复多行文字读写bug;\r\n3.大幅提升与solidworks的通信速度（尤其是2018及以上版本）；\r\n4.增加多配置分离功能；\r\n5.批量替换图框增加图纸区域设置；\r\n6.增加在线更新功能；\r\n7.其它；\r\n\r\nV2.72(2021.8.8)\r\n1.从文件读取功能增强；\r\n2.批量转换格式工具增加配置过滤功能；\r\n3.批量换图框工具增加删除悬空注解和尺寸功能；\r\n4.solidworks工具栏增加自定义功能按钮；\r\n5.其它；\r\n\r\nV2.71(2021.7.27)\r\n1.缩略图全屏显示优化；\r\n2.高分屏最小行高自适应；\r\n\r\nV2.7(2021.7.25)\r\n1.适配高分屏；\r\n2.只保存失败项bug修复；\r\n3.表格插入缩略图时变形问题修复；\r\n4.使之独立历史记录修复；\r\n5.修复多配置零部件数量统计问题；\r\n6.其它；\r\n\r\nV2.6(2021.7.12)\r\n1.优化批量加载缩略图时的内存占用；\r\n2.增加实时筛选开关；\r\n3.读取重量小数位bug修复；\r\n4.导出明细表功能优化；\r\n5.增加配置文件导入导出功能；\r\n6.增加从磁盘文件读取功能；\r\n7.创建工程图菜单优化；\r\n8.其它；\r\n\r\nV2.51(2021.6.28)\r\n1.右键菜单bug修复,功能优化；\r\n2.零部件重命名下拉增加预览；\r\n3.创建工程图功能优化，支持预定义工程图模板；\r\n4.其它；\r\n\r\nV2.5(2021.6.13)\r\n1.全新版本，不受加密软件限制；\r\n2.提升读取速度和缩略图显示速度；\r\n3.右键菜单bug修复；\r\n4.其它；\r\n\r\nV2.4(2021.5.3)\r\n1.提升大型装配的读取和保存速度；\r\n2.保存界面增加自动保存选项，可自由选择自动保存和手动保存；\r\n3.拆分列功能优化；\r\n\r\nV2.3(2021.4.26)\r\n1.复选框列反向筛选bug修复；\r\n2.批量转换工具bug修复；\r\n\r\nV2.2(2021.4.24)\r\n1.初始化表格和隐藏显示列bug修复；\r\n2.批量替换参考关系新增设置选项；\r\n3.增加保存失败提示、标记和说明；\r\n4.试用时间增加到5分钟；\r\n5.零部件重命名下拉路径排序优化；\r\n6.右键菜单激活并保存，或者批量更新保存后，可彻底解决缩略图不显示问题；\r\n7.增加批量拆分列功能；\r\n8.保存界面优化，增加保存到当前配置从自定义删除选项；\r\n9.摘要列导出明细表BUG修复；\r\n10.批量转换工具增加按配置转换功能；\r\n11.其它优化；\r\n\r\nV2.1.0.1(2021.3.14)\r\n1.代码优化；\r\n\r\nV2.1.0.0(2021.2.25)\r\n1.批量重命名保存后再读取时，无法切换到当前零部件的bug修复；\r\n2.批量重命名时无法删除到回收站bug修复；\r\n3.新增对加密锁的支持；\r\n4.其它优化；\r\n\r\nV2.0.1.0(2021.2.15)\r\n1.增加批量同步工程图名称功能；\r\n2.批量操作时隐藏solidworks界面功能优化；\r\n3.解决低版本零部件和多配置零部件缩略图显示问题；\r\n4.其它优化；\r\n\r\nV2.0.0.9(2021.2.8)\r\n1.批量工具提速优化；\r\n2.零部件重命名逻辑优化；\r\n3.右键菜单新增功能；\r\n4.其它优化；\r\n\r\nV2.0.0.8(2021.2.7)\r\n1.增加批量转换输出类型；\r\n2.bug修复；\r\n\r\nV2.0.0.7(2021.2.6)\r\n1.批量打印bug修复；\r\n2.零部件重命名bug修复；\r\n\r\nV2.0.0.6(2021.1.28)\r\n1.bug修复；\r\n\r\nV2.0.0.5(2021.1.20)\r\n1.摘要读取bug修复；\r\n2.支持solidworks插件加载；\r\n3.其它优化；\r\n\r\nV2.0.0.4(2020.12.20)\r\n1.缩略图bug修复；\r\n\r\nV2.0.0.3(2020.12.13)\r\n1.反向筛选bug修复；\r\n2.增加快速筛选功能；\r\n\r\nV2.0.0.2(2020.12.7)\r\n1.筛选优化；\r\n2.缩略图切换优化；\r\n3.已知bug修复；\r\n\r\nV2.0.0.1(2020.11.29)\r\n1.BOM导出自定义规则由过滤改为筛选；\r\n2.重命名规则优化；\r\n3.批量工具界面增加缩略图显示；\r\n4.bug修复及优化；\r\n\r\nV2.0.0.0(2020.7.9)\r\n1.读取装配体选中项增加记忆功能；\r\n2.增加读取方式；\r\n3.xls和xlsx格式BOM模板优化；\r\n4.增加复选框；\r\n5.其它；\r\n\r\nV1.5.0.0(2020.5.29)\r\n1.优化缩略图显示；\r\n2.批量工具增加右键菜单；\r\n3.其它；\r\n\r\nV1.4.0.9(2020.5.20)\r\n1.优化缩略图内存占用；\r\n2.批量打印列表增加复选框；\r\n3.批量工具表格操作提速；\r\n4.增加批量替换功能；\r\n5.优化缩略图界面；\r\n6.其它优化；\r\n\r\nV1.4.0.8(2019.12.22)\r\n1.批量工具加载文件方式优化；\r\n2.bug修复；\r\n\r\nV1.4.0.7(2019.12.1)\r\n1.增加部分快捷键；\r\n2.bug修复；\r\n\r\nV1.4.0.6(2019.11.18)\r\n1.界面菜单优化；\r\n2.过滤规则bug修复；\r\n3.导出BOM增加过滤排除功能；\r\n4.右键菜单新增部分功能；\r\n5.其它优化。\r\n\r\nV1.4.0.5(2019.10.8)\r\n1.优化属性保存和删除功能；\r\n2.修复筛选bug。\r\n\r\nV1.4.0.4(2019.9.20)\r\n1.优化属性保存和删除功能；\r\n2.修复反向筛选bug；\r\n3.其它。\r\n\r\nV1.4.0.3(2019.8.25)\r\n1.文件改名时丢失参考bug修复；\r\n2.改名时增加跳过只读文件选项；\r\n3.其它。\r\n\r\nV1.4.0.2(2019.6.28)\r\n1.批量处理时隐藏solidworks功能优化；\r\n2.其它。\r\n\r\nV1.4.0.1(2019.6.24)\r\n1.优化solidworks多开时的调用逻辑;\r\n2.其它。\r\n\r\nV1.4.0.0(2019.6.23)\r\n1.右键菜单增加快捷键；\r\n2.增加重新读取后清除筛选选项设置；\r\n3.增加不读取轻化件选项（此选项数量统计不完全，请注意！）；\r\n4.增加冻结列功能；\r\n5.增加自动隐藏solidworks界面功能；\r\n6.增加对多开solidworks的支持；\r\n7.优化过滤功能；\r\n8.筛选功能bug修复；\r\n9.符号输入bug修复；\r\n10.数量统计错误修复；\r\n11.右键菜单功能bug修复；\r\n12.其它优化和bug修复；\r\n13.彻底绿色化；\r\n14.其它。\r\n\r\nV1.3.0.0(2019.4.1)\r\n1.导出明细表功能优化；\r\n2.打开零部件或工程图时自动切换到sw窗口；\r\n3.增加读取文档创建时间和保存时间功能；\r\n4.增加读取装配体内选中的零部件功能;\r\n5.bug修复；\r\n6.其它优化。\r\n\r\nV1.2.1.2(2019.3.11)\r\n1.增加solidworks宏程序调用功能；\r\n\r\nV1.2.1.1(2019.3.2)\r\n1.双击打开工程图bug修复；\r\n2.隐藏显示列功能bug修复；\r\n3.属性保存bug修复；\r\n4.输出带缩略图的明细表报错修复；\r\n5.重命名后更新参考关系bug修复；\r\n6.筛选功能增强；\r\n7.增加保存到文件夹功能；\r\n8.其它bug修复。\r\n\r\nV1.2.1.0(2019.2.18)\r\n1.修复参考文件夹为空时保存闪退问题；\r\n2.隐藏显示列增加记忆功能。\r\n\r\nV1.2.0.9(2019.2.10)\r\n1.修复读取外形尺寸bug；\r\n2.重命名规则增加递增功能；\r\n3.重命名后更新参考关系功能增强。\r\n\r\nV1.2.0.8(2019.1.18)\r\n1.修复替换图框问题，选项增加记忆功能；\r\n2.修复Shift+方向键多选填充时bug；\r\n3.修复多配置零件改名改属性bug；\r\n4.表格编辑优化，单元格处于编辑状态时，保存也可生效；\r\n5.重命名增加过滤规则；\r\n6.增加配置文件备份功能;\r\n7.双击工程图图标，当工程图不存在时，可选择自动创建。\r\n8.增加右键菜单功能;\r\n\r\nV1.2.0.7(2019.1.13)\r\n1.优化修改配置名称功能,可修改零件的所有配置的名称；\r\n2.属性设置界面取消复选框功能；\r\n3.可隐藏显示更多的列；\r\n4.可快速切换不同的BOM表模板；\r\n5.增加重命名后更新参考关系功能；\r\n6.增加读取零件外形尺寸功能；\r\n7.表格列位置增加记忆功能；\r\n8.修复子装配体零件改名后丢失、属性位置保存错误等问题。\r\n9.其他优化；\r\n\r\nV1.2.0.6(2019.1.5)\r\n1.解决插U盘后提示重新注册的问题；\r\n2.属性设置界面取消复选框功能；\r\n3.新增修改配置名称功能。\r\n\r\nV1.2.0.5(2019.1.5)\r\n1.界面布局优化；\r\n2.导出明细表时，部分列导出会报错，问题修复；\r\n3.缩略图放大时窗口尺寸自动匹配；\r\n4.属性列可自由设定隐藏或显示；\r\n5.增加列数据对比；\r\n6.增加自定义下拉列表功能；\r\n7.保存界面的参数设定增加记忆功能；\r\n8.多实体生成的零件无法读取问题修复;\r\n9.增加反向筛选功能。\r\n\r\nV1.2.0.0(2018.12.25)\r\n1.禁网或者断网后重新注册问题修复；\r\n2.增加重命名规则；\r\n3.增加批量替换图纸格式和绘图标准文件(支持零部件和工程图)；\r\n4.增加略图随行显示功能；\r\n5.连接SW选项增加记忆功能；\r\n6.其它优化。	История обновлений\r\n\r\n(Список изменений предыдущих версий вендора удалён при локализации.)
Windows默认	Windows (по умолчанию)
